과제,조모임,학점 비율,출결,시험 횟수,name,prof
보통,없음,비율 채워줌,지정좌석,두 번,Contemporary Issues in Business,박대현
보통,없음,학점느님,지정좌석,두 번,International Marketing,박대현
없음,보통,비율 채워줌,직접호명,두 번,Business Law,허서희
많음,보통,F 폭격기,직접호명,두 번,Operations Management,알레한드로 라미레즈
없음,없음,학점느님,직접호명,두 번,경영통계,권형구
보통,보통,비율 채워줌,직접호명,두 번,현대경영과기업가정신,이태희
보통,없음,비율 채워줌,직접호명,두 번,회계학원론,이재경
없음,없음,학점느님,지정좌석,두 번,경제학개론,이웅
없음,없음,학점느님,지정좌석,없음,사제동행세미나,임승연
없음,없음,학점느님,반영안함,없음,사제동행세미나,심호식
보통,없음,비율 채워줌,직접호명,두 번,투자론,홍정훈
없음,없음,학점느님,직접호명,두 번,보험론,권형구
없음,없음,매우 깐깐함,직접호명,두 번,보험관련법,이윤석
없음,없음,학점느님,직접호명,네 번 이상,전략경영,노한균
보통,많음,학점느님,직접호명,두 번,가치평가론,김명균
보통,없음,매우 깐깐함,직접호명,두 번,금융공학,권용재
없음,없음,학점느님,직접호명,두 번,손해사정론,이윤석
보통,보통,매우 깐깐함,직접호명,없음,기업취업과경력개발,이동진
보통,없음,비율 채워줌,직접호명,두 번,중급회계1,홍지윤
보통,없음,비율 채워줌,직접호명,두 번,경영정보학원론,강영신
많음,없음,비율 채워줌,직접호명,두 번,원가관리회계세미나,남영호
보통,보통,학점느님,전자출결,두 번,사업계획서와회계실무,박경재
보통,보통,비율 채워줌,직접호명,한 번,현대경영과기업가정신,유정석
없음,없음,학점느님,직접호명,두 번,회계학원론,김병호
없음,없음,비율 채워줌,전자출결,두 번,경제학개론,이명호
없음,없음,비율 채워줌,직접호명,두 번,경제학개론,박기환
없음,없음,학점느님,직접호명,없음,사제동행세미나,유정석
보통,보통,학점느님,직접호명,없음,사제동행세미나,남영호
없음,보통,학점느님,직접호명,없음,사제동행세미나,최대헌
없음,없음,매우 깐깐함,직접호명,두 번,마케팅,강현모
보통,없음,비율 채워줌,직접호명,두 번,생산운영관리,최대헌
없음,없음,학점느님,직접호명,두 번,재무관리,김동훈
보통,없음,비율 채워줌,직접호명,두 번,조직과인간,백기복
보통,보통,학점느님,직접호명,두 번,기업경영세미나,이재경
보통,보통,비율 채워줌,직접호명,두 번,유통경영,류선호
없음,없음,비율 채워줌,직접호명,두 번,보험론,김재돌
없음,없음,비율 채워줌,직접호명,네 번 이상,국제경영,노한균
없음,없음,비율 채워줌,직접호명,두 번,집적회로공정,최성진
없음,없음,비율 채워줌,직접호명,두 번,전자공학종합설계II,노정욱
보통,보통,학점느님,직접호명,없음,전자공학종합설계II,최성진
보통,보통,학점느님,직접호명,두 번,건축영어,최혜정
보통,보통,비율 채워줌,직접호명,한 번,건축영어,박미예
보통,보통,학점느님,직접호명,없음,매체와표현II,박미예
없음,없음,학점느님,반영안함,없음,사제동행세미나,봉일범
보통,보통,학점느님,직접호명,두 번,건축구법및재료,나재심
보통,없음,비율 채워줌,직접호명,두 번,철근콘크리트구조I,나창순
보통,없음,학점느님,직접호명,두 번,건축법규,윤종수
보통,없음,학점느님,직접호명,두 번,건설관리,나재심
없음,없음,학점느님,직접호명,두 번,세계건축사II,백선경
보통,없음,매우 깐깐함,반영안함,한 번,주거론,봉일범
많음,없음,비율 채워줌,직접호명,두 번,공학응용프로그래밍,이상범
보통,없음,비율 채워줌,직접호명,두 번,공학수학 I,이경화
보통,없음,비율 채워줌,직접호명,두 번,공학수학 I,김광중
많음,많음,학점느님,직접호명,한 번,자동차 Adventure Design I,이동헌
보통,없음,학점느님,직접호명,두 번,일반물리II,이은모
없음,없음,학점느님,전자출결,두 번,사제동행세미나,김근행
보통,보통,비율 채워줌,직접호명,두 번,차량신호처리,박기홍
많음,많음,매우 깐깐함,직접호명,한 번,지능형자동차,강연식
보통,없음,비율 채워줌,직접호명,두 번,정역학,이상범
보통,없음,매우 깐깐함,직접호명,두 번,공학응용프로그래밍,김근행
보통,없음,비율 채워줌,직접호명,두 번,자동차기능실습,이근호
보통,없음,학점느님,직접호명,두 번,동역학,이동헌
보통,없음,비율 채워줌,전자출결,두 번,자료구조및알고리즘,임세준
보통,보통,학점느님,직접호명,두 번,전기전자공학실험,이근호
보통,없음,비율 채워줌,직접호명,두 번,구동및제동시스템,장시열
없음,많음,학점느님,직접호명,두 번,마이크로프로세서응용,이근호
보통,없음,학점느님,직접호명,두 번,차량소프트웨어엔지니어링,김종찬
보통,보통,비율 채워줌,직접호명,두 번,통신공학,이강준
보통,없음,학점느님,직접호명,없음,사제동행세미나,김정하
보통,보통,비율 채워줌,직접호명,한 번,글쓰기,노영근
많음,보통,비율 채워줌,직접호명,한 번,글쓰기,서연주
많음,보통,비율 채워줌,직접호명,두 번,글쓰기,백혜선
보통,보통,매우 깐깐함,직접호명,두 번,글쓰기,신현덕
보통,보통,비율 채워줌,직접호명,한 번,글쓰기,박필현
보통,없음,비율 채워줌,직접호명,없음,글쓰기,최규익
많음,보통,비율 채워줌,직접호명,한 번,글쓰기,조재현
보통,보통,학점느님,직접호명,한 번,글쓰기,박진
보통,보통,학점느님,직접호명,두 번,글쓰기,이대현
보통,보통,비율 채워줌,혼용,없음,글쓰기,박성호
보통,보통,비율 채워줌,직접호명,한 번,글쓰기,박인희
많음,많음,매우 깐깐함,직접호명,한 번,글쓰기,손필영
보통,보통,비율 채워줌,직접호명,두 번,글쓰기(공학인증),손필영
보통,보통,비율 채워줌,직접호명,한 번,글쓰기(공학인증),박필현
보통,보통,비율 채워줌,직접호명,두 번,글쓰기(공학인증),박인희
보통,보통,학점느님,직접호명,한 번,글쓰기(공학인증),박진
보통,보통,비율 채워줌,직접호명,한 번,글쓰기(공학인증),노영근
많음,없음,학점느님,직접호명,두 번,글쓰기(공학인증),최규익
보통,보통,비율 채워줌,직접호명,두 번,글쓰기(공학인증),백혜선
많음,보통,학점느님,직접호명,한 번,글쓰기(공학인증),서연주
보통,없음,비율 채워줌,직접호명,한 번,글쓰기(공학인증),조재현
많음,보통,매우 깐깐함,직접호명,없음,글쓰기(공학인증),신현덕
없음,보통,학점느님,직접호명,두 번,English Reading I,구은혜
보통,없음,학점느님,직접호명,두 번,English Reading I,장근철
보통,많음,비율 채워줌,직접호명,두 번,English Reading I,김혜정
없음,보통,학점느님,직접호명,두 번,English Reading I,서지영
보통,보통,비율 채워줌,직접호명,두 번,English Reading I,강서정
보통,보통,비율 채워줌,직접호명,두 번,English Reading I,이지현
보통,보통,비율 채워줌,직접호명,두 번,English Reading I,임미진
보통,보통,비율 채워줌,직접호명,두 번,English Reading I,박태미
보통,많음,학점느님,직접호명,두 번,English Reading I,고성란
보통,보통,학점느님,직접호명,두 번,English Reading I(ABEEK),방승희
없음,보통,학점느님,직접호명,두 번,English Reading I(ABEEK),임미진
없음,보통,학점느님,직접호명,두 번,English Reading I(ABEEK),구은혜
보통,보통,비율 채워줌,직접호명,두 번,English Reading I(ABEEK),이지현
보통,없음,학점느님,직접호명,두 번,English Reading I(ABEEK),장근철
보통,보통,비율 채워줌,직접호명,두 번,English Reading I(ABEEK),강서정
보통,보통,비율 채워줌,직접호명,두 번,English Reading I(ABEEK),노윤아
보통,보통,학점느님,직접호명,두 번,English Reading I(ABEEK),고성란
많음,많음,F 폭격기,직접호명,두 번,English Reading I(ABEEK),박태미
보통,보통,학점느님,직접호명,두 번,English Reading I(ABEEK),김혜정
없음,많음,비율 채워줌,직접호명,두 번,English Reading I(ABEEK),류도형
없음,보통,비율 채워줌,직접호명,두 번,English Reading I(ABEEK),서지영
없음,없음,비율 채워줌,직접호명,두 번,English Conversation I,턴벌
보통,보통,비율 채워줌,직접호명,두 번,English Conversation I,리즈
보통,없음,비율 채워줌,직접호명,두 번,English Conversation I,브라이언 로버슨
보통,보통,학점느님,직접호명,두 번,English Conversation I,임기원
보통,보통,비율 채워줌,직접호명,네 번 이상,English Conversation I,도날드케디
보통,보통,학점느님,직접호명,두 번,English Conversation I,펙포드
없음,보통,학점느님,직접호명,두 번,English Conversation I,포스터
보통,보통,학점느님,직접호명,두 번,English Conversation I,제임스 커버트
없음,보통,매우 깐깐함,직접호명,네 번 이상,English Conversation I,안나 마일즈
없음,보통,비율 채워줌,직접호명,두 번,English Conversation I,데이비드 스트롱
없음,보통,학점느님,직접호명,두 번,English Conversation I,에릭 피터 피터슨
보통,보통,학점느님,직접호명,두 번,English Conversation I,에리카리들
보통,보통,학점느님,직접호명,두 번,English Conversation I,피큘라
보통,보통,학점느님,직접호명,두 번,English Conversation I(ABEEK),임기원
없음,보통,비율 채워줌,직접호명,두 번,English Conversation I(ABEEK),데이비드 스트롱
보통,없음,비율 채워줌,직접호명,두 번,English Conversation I(ABEEK),도날드케디
없음,보통,비율 채워줌,직접호명,두 번,English Conversation II,캐빈워
많음,없음,비율 채워줌,직접호명,네 번 이상,English Conversation II,도날드케디
없음,보통,학점느님,직접호명,두 번,English Conversation II,로버트스미스
없음,없음,비율 채워줌,직접호명,두 번,English Conversation II,에릭 피터 피터슨
없음,보통,비율 채워줌,직접호명,두 번,English Conversation II,피큘라
보통,없음,학점느님,직접호명,한 번,English Conversation II,트레이 트리풀
보통,없음,학점느님,직접호명,두 번,글로벌영어,서지영
없음,보통,비율 채워줌,직접호명,두 번,English Conversation (Advanced),피터김
보통,많음,비율 채워줌,직접호명,없음,창업실습,박범서
없음,많음,학점느님,직접호명,없음,창의융합프로젝트스튜디오,김성일
보통,없음,학점느님,직접호명,두 번,기술혁신과기업경쟁력,김영욱
보통,보통,비율 채워줌,직접호명,두 번,역사란무엇인가,고재백
없음,없음,학점느님,직접호명,두 번,역사란무엇인가,박재욱
보통,없음,비율 채워줌,직접호명,한 번,한국역사의이해,홍영의
없음,보통,비율 채워줌,직접호명,한 번,삶과윤리,김한승
없음,보통,비율 채워줌,직접호명,두 번,음악의이해,변지연
없음,보통,비율 채워줌,직접호명,두 번,미술의이해,유가은
많음,많음,비율 채워줌,직접호명,두 번,미술의이해,허윤정
많음,많음,비율 채워줌,직접호명,한 번,디자인의이해,이민
보통,없음,비율 채워줌,직접호명,없음,디자인의이해,윤여경
없음,없음,학점느님,직접호명,두 번,한문과문화,팽철호
보통,없음,비율 채워줌,전자출결,두 번,미디어와공동체,김도연
보통,없음,비율 채워줌,직접호명,두 번,미디어와공동체,이대현
없음,보통,비율 채워줌,지정좌석,두 번,소통과토론,조수진
없음,없음,비율 채워줌,직접호명,두 번,시민사회와경제,신동필
없음,없음,학점느님,직접호명,두 번,시민사회와법,이동기
보통,많음,학점느님,직접호명,두 번,기업가정신과창업,김종성
보통,없음,비율 채워줌,전자출결,두 번,마음과행동,이수진
많음,많음,매우 깐깐함,혼용,두 번,리더십챌린지,이은아
없음,없음,학점느님,직접호명,두 번,현대동아시아의이해,김민수
보통,보통,비율 채워줌,전자출결,두 번,기업가정신과창업,이수용
보통,없음,학점느님,직접호명,네 번 이상,수학과문명,이장주
없음,없음,비율 채워줌,직접호명,두 번,생명의이해,임화선
없음,없음,학점느님,전자출결,두 번,독일어I,정혜륜
없음,없음,비율 채워줌,직접호명,두 번,기초스페인어,김선이
없음,없음,매우 깐깐함,전자출결,두 번,중급스페인어,김선이
많음,없음,매우 깐깐함,직접호명,두 번,초급중국어회화,채춘옥
없음,없음,F 폭격기,직접호명,네 번 이상,시사일본어강독,류미나
보통,없음,매우 깐깐함,직접호명,두 번,Introduction to Ancient Greek Mythology,안나 마일즈
없음,없음,학점느님,직접호명,두 번,History of Western Philosophy,피터리
없음,없음,비율 채워줌,직접호명,한 번,포스트모던의철학사상,이근세
보통,없음,비율 채워줌,직접호명,두 번,정보통신과현대생활,노희룡
없음,없음,비율 채워줌,전자출결,두 번,민법의이해,김수정
보통,보통,학점느님,직접호명,두 번,미래사회의이해,여현철
보통,보통,비율 채워줌,직접호명,두 번,미래사회의이해,이혜수
없음,없음,학점느님,직접호명,한 번,북한역사의이해,안드레이 란코프
보통,보통,학점느님,전자출결,두 번,북한의생활문화이해,김병욱
보통,없음,학점느님,직접호명,없음,취·창업역량과전략,김세준
보통,없음,매우 깐깐함,직접호명,한 번,국제관계의이해와통일,조철호
보통,보통,비율 채워줌,직접호명,두 번,시민생활과세금,이한우
없음,없음,비율 채워줌,전자출결,두 번,생활속의미생물,오세욱
보통,보통,비율 채워줌,직접호명,한 번,숲,문나현
보통,없음,비율 채워줌,직접호명,두 번,탁구,이원재
보통,없음,비율 채워줌,직접호명,두 번,영화의이해,김창주
보통,보통,학점느님,직접호명,없음,윈드서핑및수상스키,김미향
보통,없음,학점느님,직접호명,두 번,윈드서핑및수상스키,이운용
없음,없음,비율 채워줌,직접호명,한 번,기초검도,이인상
없음,없음,비율 채워줌,직접호명,한 번,실전골프,홍준희
보통,없음,학점느님,직접호명,두 번,SY라인만들기,임현주
없음,보통,학점느님,직접호명,한 번,문화예술교육의이해,이성희
많음,많음,비율 채워줌,직접호명,없음,3D프린팅창의메이커스,박윤관
많음,보통,비율 채워줌,직접호명,한 번,환경생태학,김은식
보통,보통,학점느님,전자출결,한 번,성과법률,전해정
보통,없음,비율 채워줌,직접호명,한 번,문화공간탐방,김준희
보통,없음,학점느님,전자출결,두 번,정치와예술,김선아
많음,많음,학점느님,직접호명,없음,기업가정신 사회봉사I,이민석
보통,없음,학점느님,지정좌석,없음,기업가정신특강,이민석
보통,없음,학점느님,직접호명,두 번,통일시대지성인으로서의역할,전현준
없음,보통,학점느님,직접호명,두 번,사서삼경의이해,조휘만
보통,보통,비율 채워줌,직접호명,두 번,교육평가,나종민
보통,보통,F 폭격기,직접호명,한 번,특수교육학개론,양민화
많음,보통,비율 채워줌,직접호명,한 번,특수교육학개론,이애진
없음,없음,비율 채워줌,직접호명,두 번,국문학개론,조흥욱
없음,없음,비율 채워줌,직접호명,두 번,국문학개론,양현승
많음,없음,비율 채워줌,직접호명,없음,한국현대문학입문,정선태
많음,없음,비율 채워줌,직접호명,네 번 이상,한국현대문학입문,김진옥
없음,없음,학점느님,직접호명,두 번,한국어음운론,윤희선
보통,많음,비율 채워줌,직접호명,두 번,언어유형론,정연희
많음,없음,비율 채워줌,직접호명,두 번,소설교육론,김진옥
많음,보통,비율 채워줌,직접호명,네 번 이상,희곡론,서재길
없음,없음,비율 채워줌,직접호명,두 번,국어사,윤희선
보통,없음,비율 채워줌,직접호명,없음,소설창작및연습,최규익
없음,없음,학점느님,직접호명,두 번,향가여요론,조흥욱
보통,보통,매우 깐깐함,직접호명,두 번,현대시인론,이철송
보통,보통,비율 채워줌,직접호명,두 번,국어의미론,이수연
보통,없음,학점느님,직접호명,두 번,현대문학강독,정선태
보통,보통,학점느님,직접호명,두 번,영어회화(1),피터리
없음,없음,학점느님,직접호명,없음,S-TEAM Class,이석환
보통,보통,매우 깐깐함,직접호명,두 번,영문학개론(1),정명희
없음,보통,비율 채워줌,직접호명,두 번,영문학개론(1),구은혜
없음,없음,학점느님,직접호명,두 번,영어학의기초,김정연
많음,없음,학점느님,직접호명,없음,사제동행세미나,이일환
보통,없음,학점느님,직접호명,없음,사제동행세미나,정명희
보통,없음,비율 채워줌,직접호명,두 번,미국문학과문화,강규한
없음,없음,학점느님,직접호명,두 번,현대영미드라마,김태우
없음,보통,비율 채워줌,직접호명,두 번,영어회화(3),피터리
보통,없음,비율 채워줌,직접호명,두 번,영미단편소설,이인규
보통,없음,학점느님,직접호명,두 번,미국문학개관,강규한
보통,없음,비율 채워줌,직접호명,두 번,영어문장구조의이해,윤종열
보통,보통,학점느님,직접호명,두 번,세계속의영문학,김선영
보통,보통,매우 깐깐함,직접호명,두 번,현대영국소설,정명희
보통,보통,비율 채워줌,직접호명,두 번,영어권문학과문화,구은혜
없음,없음,매우 깐깐함,직접호명,두 번,미국시,이일환
보통,없음,매우 깐깐함,직접호명,없음,영문학과영화,이일환
보통,없음,비율 채워줌,직접호명,두 번,심리언어학의이해,하경영
많음,보통,비율 채워줌,직접호명,두 번,영상영어번역,김선영
많음,보통,비율 채워줌,직접호명,없음,영한전문번역,이인규
많음,보통,비율 채워줌,직접호명,두 번,Global Issues,윤종열
보통,보통,학점느님,직접호명,두 번,Business Communication(1),지니김
보통,없음,학점느님,직접호명,세 번,Pronunciation in Context,지니김
없음,없음,비율 채워줌,직접호명,두 번,중국어발음연습,전긍
보통,없음,매우 깐깐함,지정좌석,두 번,중국어발음연습,초팽염
보통,없음,비율 채워줌,직접호명,두 번,기초한문,이규일
보통,없음,비율 채워줌,직접호명,두 번,초급중국어회화(1),이설화
없음,없음,비율 채워줌,직접호명,두 번,초급중국어회화(1),채예령
보통,보통,학점느님,직접호명,두 번,중국어교육론,장창호
없음,없음,학점느님,직접호명,없음,사제동행세미나,장창호
없음,없음,비율 채워줌,직접호명,두 번,경전강독,박종혁
없음,없음,학점느님,직접호명,두 번,중국어문법,전긍
보통,보통,학점느님,직접호명,두 번,중급중국어회화(1),채춘옥
없음,없음,비율 채워줌,직접호명,두 번,중문학개론(1),팽철호
보통,없음,매우 깐깐함,직접호명,한 번,명.청소설,강태권
보통,없음,학점느님,직접호명,두 번,중국어작문(1),채예령
보통,없음,학점느님,직접호명,두 번,고문선독,박종혁
없음,없음,비율 채워줌,직접호명,두 번,사곡선독,정환종
보통,보통,비율 채워줌,직접호명,두 번,비즈니스중국어,초팽염
없음,없음,비율 채워줌,직접호명,한 번,중국문언소설,강태권
없음,없음,비율 채워줌,직접호명,두 번,중국문학사(1),팽철호
없음,없음,학점느님,직접호명,두 번,고급중국어회화(1),전긍
보통,없음,학점느님,직접호명,두 번,시사중국어,오한나
보통,없음,학점느님,직접호명,한 번,중국현대산문,강태권
보통,보통,비율 채워줌,전자출결,없음,문화유적현장실습(1),여성구
보통,보통,비율 채워줌,직접호명,두 번,한국고대사,문창로
많음,없음,매우 깐깐함,직접호명,한 번,한국고대사,김수진
보통,없음,비율 채워줌,직접호명,두 번,한국근대사,황선익
보통,없음,비율 채워줌,직접호명,두 번,한국현대사,김영미
보통,없음,비율 채워줌,직접호명,한 번,한국중세사(고려시대사),홍영의
많음,많음,비율 채워줌,직접호명,한 번,문화유적현장실습(3),김영미
없음,없음,비율 채워줌,직접호명,두 번,사료강독(1)(동양사),문명기
보통,없음,학점느님,전자출결,두 번,서양고대사·중세사,박재욱
보통,보통,매우 깐깐함,직접호명,두 번,조선전기사특강,권기석
보통,보통,비율 채워줌,직접호명,두 번,한국고대사특강,문창로
많음,없음,F 폭격기,직접호명,한 번,한국근세원전읽기,김태훈
많음,없음,비율 채워줌,직접호명,두 번,한국근세원전읽기,이근호
보통,없음,비율 채워줌,직접호명,한 번,역사교육론,전우식
없음,없음,비율 채워줌,직접호명,두 번,동아시아근세사,류미나
보통,없음,학점느님,직접호명,두 번,사료강독(2)(서양사),고재백
많음,많음,비율 채워줌,직접호명,한 번,문화사의이해,김영미
보통,없음,비율 채워줌,직접호명,두 번,동양근현대사,문명기
없음,없음,비율 채워줌,직접호명,두 번,서양사특강,윤은주
보통,없음,학점느님,직접호명,없음,한국사연습,장석흥
보통,없음,비율 채워줌,직접호명,한 번,한국사실습(1)(캡스톤디자인),장지영
없음,없음,비율 채워줌,직접호명,두 번,교육심리학,이수진
없음,보통,비율 채워줌,직접호명,한 번,교육과정론,이윤옥
보통,없음,비율 채워줌,직접호명,두 번,교육통계및연습,나종민
없음,없음,비율 채워줌,직접호명,두 번,교육행정학,김현진
보통,보통,비율 채워줌,직접호명,두 번,학교상담론,박관성
보통,없음,학점느님,직접호명,두 번,동양도덕윤리사상,정혜진
많음,보통,매우 깐깐함,혼용,두 번,생활지도와상담,김수리
보통,없음,매우 깐깐함,직접호명,두 번,기업교육론,송진휘
없음,보통,학점느님,직접호명,두 번,교육지도성및조직발전,김현진
보통,없음,학점느님,직접호명,두 번,초급중국어I,곡효여
보통,없음,비율 채워줌,직접호명,두 번,실용중국어회화I,곡효여
보통,보통,학점느님,직접호명,두 번,중국학을위한경제학기초,은종학
보통,없음,매우 깐깐함,직접호명,두 번,혁명기의중국,김수영
많음,보통,매우 깐깐함,직접호명,한 번,중국사회의변동과사회정책,박철현
보통,보통,비율 채워줌,직접호명,두 번,한중무역투자론,문익준
보통,없음,비율 채워줌,직접호명,두 번,중국전통시대의삶과문화,김수영
보통,보통,학점느님,직접호명,두 번,중국의경제성장과혁신,은종학
없음,없음,비율 채워줌,직접호명,한 번,중국외교와국제관계,서상민
보통,없음,비율 채워줌,직접호명,두 번,러시아어I,윤서현
많음,보통,매우 깐깐함,직접호명,네 번 이상,러시아정치의이해,장덕준
보통,없음,학점느님,직접호명,두 번,러시아경제론,이상준
없음,없음,매우 깐깐함,직접호명,두 번,러시아대외경제와무역실무,김상원
보통,없음,비율 채워줌,직접호명,네 번 이상,국제협력과러시아,장덕준
없음,없음,비율 채워줌,직접호명,두 번,일본의이해,최희식
보통,없음,학점느님,직접호명,두 번,지역전문가과정일본어I,김현욱
보통,보통,학점느님,직접호명,없음,사제동행세미나,박창건
많음,없음,F 폭격기,직접호명,두 번,현대일본정치의이해,이원덕
없음,없음,학점느님,직접호명,두 번,일본근·현대사,안소영
보통,보통,비율 채워줌,직접호명,한 번,일본경제의이해,박창건
보통,없음,비율 채워줌,직접호명,한 번,영어로읽는일본Ⅱ,박창건
보통,보통,학점느님,직접호명,두 번,과제선진국일본연구,최희식
많음,많음,매우 깐깐함,직접호명,한 번,일반사회교육론,이성흠
많음,보통,비율 채워줌,직접호명,한 번,사회교과논리및논술,이성흠
많음,보통,매우 깐깐함,직접호명,두 번,사회과학방법론,안미영
보통,보통,학점느님,직접호명,없음,프로젝트러닝의이해와실제,최진식
보통,없음,비율 채워줌,직접호명,없음,사제동행세미나,박현희
보통,보통,학점느님,전자출결,두 번,행정이론,김나연
많음,보통,비율 채워줌,직접호명,두 번,조직론,조경호
보통,보통,비율 채워줌,전자출결,두 번,성과관리론,이석환
없음,없음,학점느님,직접호명,두 번,행정의사결정론,최진식
보통,보통,비율 채워줌,직접호명,두 번,정책분석평가론,한세희
없음,없음,비율 채워줌,직접호명,두 번,규제정책론,최진식
보통,없음,비율 채워줌,전자출결,두 번,사회정책론,방하남
없음,없음,비율 채워줌,직접호명,두 번,기초통계,박현희
없음,없음,비율 채워줌,직접호명,두 번,행정학의이해와응용,최진식
보통,없음,비율 채워줌,직접호명,두 번,정치학개론,장승진
보통,보통,매우 깐깐함,직접호명,두 번,정치학개론,김경래
보통,없음,학점느님,직접호명,두 번,정치학개론,고댕
많음,없음,비율 채워줌,직접호명,두 번,국제정치론,배병인
보통,없음,매우 깐깐함,직접호명,두 번,국제정치사,배병인
많음,보통,비율 채워줌,직접호명,한 번,비교정치론,이종찬
보통,보통,매우 깐깐함,직접호명,두 번,정치사상,박수인
없음,없음,비율 채워줌,직접호명,두 번,한국정치론,장승진
없음,없음,학점느님,직접호명,두 번,정치쟁점토론,고댕
많음,많음,매우 깐깐함,직접호명,한 번,한국정치경제론,이종찬
보통,없음,비율 채워줌,직접호명,두 번,정치경제론,김경래
보통,없음,비율 채워줌,직접호명,두 번,선거와여론,장승진
많음,없음,매우 깐깐함,직접호명,없음,정치학연구방법론,장승진
보통,없음,학점느님,직접호명,없음,정치현장답사,배병인
보통,보통,비율 채워줌,직접호명,두 번,국제안보협력,홍미화
없음,보통,비율 채워줌,직접호명,두 번,인권과국제정치,홍미화
보통,없음,학점느님,직접호명,두 번,동아시아정치사,윤석정
보통,없음,학점느님,직접호명,두 번,정치학특강 I,고댕
보통,없음,학점느님,직접호명,두 번,현대정치이론,고댕
보통,보통,비율 채워줌,직접호명,두 번,사회학의기초,채오병
보통,없음,학점느님,직접호명,없음,사회학논문연습,김수정
보통,없음,비율 채워줌,직접호명,두 번,현대사회학이론,최항섭
보통,없음,비율 채워줌,직접호명,두 번,사회통계,신동준
많음,없음,학점느님,직접호명,한 번,사회문제와현장연구,김수정
보통,보통,비율 채워줌,직접호명,두 번,사회계층과불평등,문상석
보통,없음,비율 채워줌,직접호명,두 번,일탈과범죄,신동준
보통,보통,매우 깐깐함,직접호명,두 번,조직사회학,문상석
보통,없음,학점느님,직접호명,두 번,스포츠와여가,이장영
보통,없음,매우 깐깐함,직접호명,한 번,과학기술의사회학,김환석
보통,보통,비율 채워줌,직접호명,두 번,포스트모던사회이론,채오병
많음,없음,매우 깐깐함,직접호명,두 번,미디어사회학,최항섭
보통,없음,비율 채워줌,직접호명,두 번,사회학총론,채오병
많음,없음,비율 채워줌,반영안함,없음,사제동행세미나,나은경
보통,없음,비율 채워줌,직접호명,두 번,커뮤니케이션학입문,이창현
보통,보통,학점느님,전자출결,두 번,커뮤니케이션학입문,홍주현
많음,보통,매우 깐깐함,직접호명,한 번,방송제작실습,박진식
보통,보통,비율 채워줌,직접호명,두 번,저널리즘이론,손영준
없음,없음,매우 깐깐함,직접호명,두 번,스피치토론실습,류춘렬
보통,없음,학점느님,직접호명,한 번,스피치토론실습,조수진
없음,없음,F 폭격기,반영안함,한 번,글쓰기연습,박성호
없음,없음,비율 채워줌,직접호명,두 번,글쓰기연습,변상욱
보통,보통,비율 채워줌,직접호명,두 번,글쓰기연습,이대현
보통,없음,학점느님,직접호명,두 번,모바일커뮤니케이션,정재훈
많음,많음,매우 깐깐함,직접호명,두 번,뉴미디어와사회,나은경
보통,없음,비율 채워줌,직접호명,한 번,영상커뮤니케이션(캡스톤디자인),조인숙
많음,많음,비율 채워줌,직접호명,한 번,미디어심리학,나은경
보통,많음,학점느님,직접호명,한 번,크리에이티브전략,김자림
보통,없음,비율 채워줌,직접호명,두 번,광고학입문,고한준
보통,없음,비율 채워줌,전자출결,두 번,광고학입문,이종민
보통,보통,매우 깐깐함,직접호명,두 번,PR전략,김나미
많음,많음,비율 채워줌,직접호명,두 번,미디어플래닝,이종선
보통,보통,비율 채워줌,전자출결,두 번,크리에이티브실습,박용무
많음,없음,매우 깐깐함,직접호명,세 번,효과적프레젠테이션,지준형
보통,많음,비율 채워줌,지정좌석,두 번,헬스커뮤니케이션,김민정
보통,없음,학점느님,직접호명,두 번,마케팅전략,최동원
많음,없음,비율 채워줌,직접호명,두 번,광고데이터분석,이세진
없음,없음,비율 채워줌,전자출결,두 번,브랜드매니지먼트,이종민
없음,없음,F 폭격기,직접호명,두 번,민법총칙,여태식
없음,없음,학점느님,반영안함,없음,사제동행세미나,이동기
보통,없음,학점느님,직접호명,네 번 이상,채권각론,홍윤선
없음,없음,비율 채워줌,직접호명,두 번,행정법총론,김민섭
없음,없음,비율 채워줌,직접호명,한 번,민법총칙,김동훈
보통,없음,비율 채워줌,직접호명,두 번,민법총칙,남윤삼
없음,없음,비율 채워줌,직접호명,두 번,민법총칙,김수정
보통,없음,학점느님,반영안함,없음,사제동행세미나,안경희
보통,없음,학점느님,직접호명,없음,사제동행세미나,김재희
없음,없음,학점느님,직접호명,없음,사제동행세미나,김수정
없음,없음,비율 채워줌,직접호명,두 번,법학적성의이해,박종현
많음,없음,비율 채워줌,직접호명,한 번,법정보조사론,전해정
없음,없음,비율 채워줌,직접호명,두 번,법사회학,황승흠
보통,없음,학점느님,직접호명,두 번,행정법총론,박민
보통,없음,비율 채워줌,전자출결,두 번,행정법총론,김성배
많음,없음,매우 깐깐함,직접호명,두 번,헌법II,박정원
없음,없음,비율 채워줌,직접호명,두 번,헌법II,정철
보통,보통,비율 채워줌,직접호명,두 번,헌법II,박종현
보통,없음,비율 채워줌,직접호명,두 번,형법각론,표성수
없음,없음,비율 채워줌,직접호명,두 번,형법각론,이동기
없음,없음,비율 채워줌,직접호명,두 번,형법각론,노동혁
보통,보통,비율 채워줌,직접호명,두 번,Anglo-American Law1,전정원
없음,없음,비율 채워줌,직접호명,두 번,국제법II,정진석
